City (for azimuth),hive,lat,lon,month,day,year,hour,min,hour,minute,segment,dance found?,segment start time,color,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,20,,,C6_062518_14.46_for_60sec,yes,14.2,,no,3,3,4,8,308,365,331.583,18.293,686,744,712.708,18.611,0.868,1.702,1.293,0.39,23,68,42.75,14.32,26.667,36.125,32.449,4.182,0,36.125,16.225,17.56,NA,NA,NA,NA,26.667,36.125,32.449,4.182,20.441,30.738,26.223,5.055,24.444,71.565,47.693,19.805,NA,NA,NA,NA,,114.444,161.565,137.693,,,137.693,2.403196207,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,30,,,C7_062518_14.54_for_60sec,yes,14.3,grey brown,yes C7,1,1,5,10,295,375,330.2,28.491,591,721,647.4,38.176,0.868,1.235,1.048,0.139,19,105,47.2,26.444,34.409,52.01,44.727,7.441,0,52.01,22.364,24.089,NA,NA,NA,NA,34.409,52.01,44.727,7.441,32.226,48.482,42.933,6.464,37.972,71.996,53.319,13.73,NA,NA,NA,NA,,127.972,161.996,143.319,,,143.319,2.501388431,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,30,,,C7_062518_14.54_for_60sec,yes,14.3,,yes,2,2,6,12,904,1025.333,964.222,39.63,512.667,650,594.333,37.691,1.902,2.536,2.247,0.219,31,79,60.917,13.701,53.748,81.169,62.631,10.191,0,81.169,31.316,33.422,NA,NA,NA,NA,53.748,81.169,62.631,10.191,22.782,32.008,27.849,3.022,55.923,75.735,66.04,7.898,NA,NA,NA,NA,,145.923,165.735,156.04,,,156.04,2.723411765,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,30,,,C7_062518_14.54_for_60sec,yes,14.3,,yes,3,3,5,10,586.667,772,703.467,65.598,403.333,695.333,552.4,85.152,1.201,2.102,1.622,0.366,26,65,49.6,14.585,31.127,63.217,47.379,14.275,0,63.217,23.69,26.723,NA,NA,NA,NA,31.127,63.217,47.379,14.275,25.913,32.182,28.801,2.762,46.736,67.38,58.635,7.976,NA,NA,NA,NA,,136.736,157.38,148.635,,,148.635,2.594170134,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,30,,,C7_062518_14.54_for_60sec,yes,14.3,,no,4,4,5,10,702.667,753.333,730,16.868,687.333,763.333,724.667,23.4,1.435,1.869,1.635,0.175,43,106,54.4,18.68,35.201,55.825,47.085,8.424,0,55.825,23.543,25.444,NA,NA,NA,NA,35.201,55.825,47.085,8.424,24.534,31.373,28.636,2.631,49.844,62.103,54.724,5.462,NA,NA,NA,NA,,139.844,152.103,144.724,,,144.724,2.525910307,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,36,,,C8_062518_15.00_for_60sec,yes,14.36,yellow,yes C8,1,1,6,12,258.667,424,345.556,49.934,741.333,922.667,790.889,54.765,1.168,2.035,1.646,0.33,31,44,38.25,4.693,36.782,75.637,60.702,13.726,0,75.637,30.351,33.024,NA,NA,NA,NA,36.782,75.637,60.702,13.726,31.452,48.523,37.015,6.341,12.407,43.531,27.702,13.272,NA,NA,NA,NA,,102.407,133.531,117.702,,,117.702,2.054287436,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,36,,,C8_062518_15.00_for_60sec,yes,14.36,,yes,2,2,6,11,448,1170.5,819.409,197.937,462,653.333,569.742,66.994,0,1.635,0.945,0.578,33,64,44.636,9.277,0,61.072,39.114,21.015,0,61.072,21.335,25.26,NA,NA,NA,NA,34.15,61.072,46.937,9.647,32.212,57.555,43.416,9.997,21.501,38.66,32.169,6.975,NA,NA,NA,NA,,111.501,128.66,122.169,,,122.169,2.132251294,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,46,,,C9_062518_15.10_for_60sec,yes,14.46,yellow,yes C9,1,1,9,18,462.667,662.667,566.296,59.576,590.667,829.333,728.593,69.376,1.268,2.236,1.917,0.333,22,82,52.278,12.924,49.351,89.81,68.875,14.452,0,89.81,34.437,36.796,NA,NA,NA,NA,49.351,89.81,68.875,14.452,23.11,41.893,36.303,6.262,14.744,49.185,33.825,10.711,NA,NA,NA,NA,,104.744,139.185,123.825,,,123.825,2.161153946,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,46,,,C9_062518_15.10_for_60sec,yes,14.46,,yes,2,2,6,12,313.333,684,504,138.872,244,653.333,415.556,129.058,0.534,2.035,1.49,0.536,27,59,44.833,10.116,33.119,56.96,45.197,8.754,0,56.96,22.599,24.33,NA,NA,NA,NA,33.119,56.96,45.197,8.754,23.723,62.037,34.129,13.949,20.556,77.661,44.111,21.608,NA,NA,NA,NA,,110.556,167.661,134.111,,,134.111,2.340678513,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,50,,,C10_062518_15.14_for_60sec,yes,14.5,grey brown,yes C10,1,1,3,6,189,249,223.5,20.097,822,882,855.333,26.341,1.235,1.368,1.324,0.077,28,40,34.167,4.355,47.707,52.393,50.713,2.609,0,52.393,25.356,27.826,NA,NA,NA,NA,47.707,52.393,50.713,2.609,34.873,42.438,38.45,3.799,56.976,92.203,71.85,18.241,NA,NA,NA,NA,,146.976,182.203,161.85,,,161.85,2.824815394,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,50,,,C10_062518_15.14_for_60sec,yes,14.5,,yes,2,2,4,8,332,742.667,476.667,166.67,369.333,692,561.5,115.041,0.968,2.336,1.543,0.575,35,198,66.375,54.298,46.97,63.847,53.197,7.448,0,63.847,26.599,28.85,NA,NA,NA,NA,46.97,63.847,53.197,7.448,27.336,48.542,36.8,9.029,55.408,62.784,60.558,3.503,NA,NA,NA,NA,,145.408,152.784,150.558,,,150.558,2.627732815,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,50,,,C10_062518_15.14_for_60sec,yes,14.5,,no,3,3,3,6,502.667,770,605.778,103.825,616,757.333,690.778,56.808,2.169,2.302,2.224,0.069,34,43,38.5,3.391,50.947,77.279,65.176,13.294,0,77.279,32.588,36.675,NA,NA,NA,NA,50.947,77.279,65.176,13.294,23.134,33.566,29.244,5.441,10.437,56.31,36.542,23.584,NA,NA,NA,NA,,100.437,146.31,126.542,,,126.542,2.208574542,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,52,,,C11_062518_15.16_for_60sec,yes,14.52,yellow,yes C11,1,1,8,16,300,637.333,451.833,110.36,680.667,762,732.417,25.653,0.868,1.535,1.214,0.218,41,56,46.812,4.52,34.897,61.42,48.021,9.321,0,61.42,24.01,25.602,NA,NA,NA,NA,34.897,61.42,48.021,9.321,33.716,49.868,39.843,6.01,3.576,29.055,12.496,9.881,NA,NA,NA,NA,,93.576,119.055,102.496,,,102.496,1.78889267,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,52,,,C11_062518_15.16_for_60sec,yes,14.52,,yes,2,2,6,12,384,581.333,478.111,58.984,562,748.667,694.222,63.294,1.401,2.069,1.635,0.28,28,55,39.667,7.655,47.253,67.422,60.767,7.168,0,67.422,30.383,32.1,NA,NA,NA,NA,47.253,67.422,60.767,7.168,32.591,44.954,37.634,5.041,7.125,24.538,14.56,6.979,NA,NA,NA,NA,,97.125,114.538,104.56,,,104.56,1.824916266,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,52,,,C11_062518_15.16_for_60sec,yes,14.52,,yes,3,3,6,12,418.667,685.333,528.444,81.803,774,938,879,66.431,1.235,2.536,1.791,0.438,26,50,36.917,7.597,52.932,68.728,58.985,6.434,0,68.728,29.493,31.108,NA,NA,NA,NA,52.932,68.728,58.985,6.434,25.505,44.752,34.08,6.428,-2.603,40.914,15.025,15.131,NA,NA,NA,NA,,87.397,130.914,105.025,,,105.025,1.833032047,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,52,,,C11_062518_15.16_for_60sec,yes,14.52,,yes,4,4,5,10,605.333,706.667,652.8,36.968,595.333,734,674.933,43.926,1.235,2.669,2.142,0.62,23,59,47.1,12.871,44.081,69.602,57.442,10.728,0,69.602,28.721,31.108,NA,NA,NA,NA,44.081,69.602,57.442,10.728,19.02,35.705,28.107,6.229,-86.566,-66.801,-78.164,8.568,NA,NA,NA,NA,,3.434,23.199,11.836,,,11.836,0.2065771703,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,55,,,C12_062518_15.19_for_60sec,yes,14.55,yellow,yes C12,1,1,7,14,416,669.333,598.857,73.582,768,878,824.381,33.024,1.29,2.22,1.663,0.353,38,64,48.5,7.664,37.947,76.965,55.417,14.683,0,76.965,27.709,30.436,NA,NA,NA,NA,37.947,76.965,55.417,14.683,26.933,40.722,33.378,5.368,14.036,65.726,38.516,18.747,NA,NA,NA,NA,,104.036,155.726,128.516,,,128.516,2.243027341,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,55,,,C12_062518_15.19_for_60sec,yes,14.55,,yes,2,2,4,8,590.667,660,634.833,22.9,470.667,505.333,487,13.175,0.81,1.29,1.027,0.198,44,66,55.875,8.219,20.044,37.924,29.959,8.555,0,37.924,14.98,16.965,NA,NA,NA,NA,20.044,37.924,29.959,8.555,24.746,37.18,28.978,5.64,-10.125,27.897,6.982,15.711,NA,NA,NA,NA,,79.875,117.897,96.982,,,96.982,1.692655215,
Wooster,OBS2,40.775295,-81.920004,6,25,2018,14,55,,,C12_062518_15.19_for_60sec,yes,14.55,,,3,3,4,8,304,861.333,674.333,230.216,294,632,484.083,122.593,1.08,2.04,1.65,0.405,34,57,45.5,7.892,61.188,66.198,62.713,2.34,0,66.198,31.356,33.556,NA,NA,NA,NA,61.188,66.198,62.713,2.34,32.45,57.048,40.053,11.414,54.246,82.569,67.794,14.917,NA,NA,NA,NA,,144.246,172.569,157.794,,,157.794,2.75402484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,,,90,1.570796327,1
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,23,18,18,C1_071218_14.23_for_60sec,yes,14.23,grey brown,yes C1,1,1,6,12,678,823.5,754.222,45.2,274.5,575.333,390.667,87.123,0.567,3.437,1.173,1.112,27,70,51.583,9.737,31.248,79.151,49.169,16.3,0,79.151,24.584,27.93,NA,NA,NA,NA,31.248,79.151,49.169,16.3,23.031,68.608,53.705,16.484,-172.405,168.111,-59.773,168.672,NA,NA,NA,NA,,277.595,258.111,30.227,,,30.227,0.527560673,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,23,,,C1_071218_14.23_for_60sec,yes,14.23,,no,2,2,5,10,693,859.333,761.5,54.369,532,609,563.567,22.958,3.437,3.804,3.644,0.142,31,61,49.6,8.303,74.041,88.057,82.565,5.376,0,88.057,41.283,43.663,NA,NA,NA,NA,74.041,88.057,82.565,5.376,19.991,24.878,22.706,1.988,147.633,176.424,163.635,10.314,NA,NA,NA,NA,,237.633,266.424,253.635,,,253.635,4.426765848,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,23,,,C1_071218_14.23_for_60sec,yes,14.23,,no,3,3,5,10,607,652,624.7,13.41,243.833,518,380.933,84.535,3.47,4.171,3.884,0.273,28,55,38.4,7.531,76.678,91.22,84.691,5.335,0,91.22,42.345,44.777,NA,NA,NA,NA,76.678,91.22,84.691,5.335,20.337,24.043,21.862,1.621,-102.665,-76.13,-90.606,10.454,NA,NA,NA,NA,,347.335,13.87,359.394,,,359.394,6.272608612,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,24,,,C2_071218_14.24_for_60sec,yes,14.24,white,yes C2,1,1,6,12,993,1076,1037.667,25.511,633,697,665.583,19.261,0,0,0,0,22,87,63,15.261,40.46,60.216,50.916,7.385,0,60.216,25.458,27.052,NA,NA,NA,NA,40.46,60.216,50.916,7.385,NA,NA,NA,NA,14.323,44.193,31.971,10.592,NA,NA,NA,NA,,104.323,134.193,121.971,,,121.971,2.128795542,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,24,,,C2_071218_14.24_for_60sec,yes,14.24,,no,2,2,5,10,1206,1382,1281.533,57.718,497,589.333,538.7,26.082,0,0,0,0,51,78,65.8,8.443,62.097,86.885,77.965,11.384,0,86.885,38.982,41.786,NA,NA,NA,NA,62.097,86.885,77.965,11.384,NA,NA,NA,NA,158.962,171.87,166.11,4.726,NA,NA,NA,NA,,248.962,261.87,256.11,,,256.11,4.469962747,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,24,,,C2_071218_14.24_for_60sec,yes,14.24,,no,3,3,6,12,536,1044,783,185.68,586.667,733.333,675.222,51.788,0,0,0,0,30,70,54.5,13.16,49.405,102.537,69.775,19.16,0,102.537,34.888,38.661,NA,NA,NA,NA,49.405,102.537,69.775,19.16,NA,NA,NA,NA,-167.229,176.906,-104.673,138.014,NA,NA,NA,NA,,282.771,266.906,345.327,,,345.327,6.027093146,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,27,,,C3_071218_14.27_for_60sec,yes,14.27,white,yes C3,1,1,6,12,730.667,880,794.333,46.669,482,610,558.083,39.026,0,0,0,0,40,63,53.083,6.445,46.69,59.405,54.429,4.632,0,59.405,27.215,28.596,NA,NA,NA,NA,46.69,59.405,54.429,4.632,NA,NA,NA,NA,32.8,53.902,44.504,6.894,NA,NA,NA,NA,,122.8,143.902,134.504,,,134.504,2.347537657,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,27,,,C3_071218_14.27_for_60sec,yes,14.27,,yes,2,2,8,16,1085,1271,1193.125,49.181,509,575,541.375,17.791,0,0,0,0,52,92,69.562,11.278,39.294,83.487,60,13.34,0,83.487,30,32.296,NA,NA,NA,NA,39.294,83.487,60,13.34,NA,NA,NA,NA,-178.059,178.238,-41.335,176.238,NA,NA,NA,NA,,271.941,268.238,48.665,,,48.665,0.8493644805,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,27,,,C3_071218_14.27_for_60sec,yes,14.27,,no,3,3,4,7,777,802,786.143,8.649,376,421,401,16.723,0,0,0,0,44,55,47.714,3.729,0,33.541,23.956,16.026,0,33.541,13.689,17.099,NA,NA,NA,NA,30.265,33.541,31.941,1.639,NA,NA,NA,NA,-116.565,-97.595,-106.21,9.604,NA,NA,NA,NA,,333.435,352.405,343.79,,,343.79,6.000267435,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,33,,,C4_071218_14.33_for_60sec,yes,14.33,white,yes C4,1,1,8,16,925,986,953.938,19.164,600,681,637,22.402,0.9,1.14,1.058,0.073,36,71,57.312,8.723,33.601,53.263,41.174,5.838,0,53.263,20.587,21.633,NA,NA,NA,NA,33.601,53.263,41.174,5.838,32.001,49.318,39.007,5.336,-55.923,-36.529,-44.063,6.769,NA,NA,NA,NA,,34.077,53.471,45.937,,,45.937,0.8017518985,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,33,,Explore,C4_071218_14.33_for_60sec,yes,14.33,,no,2,2,9,18,1241,1410,1316.556,47.515,434,584,507.778,45.218,0.63,1.92,1.4,0.345,20,119,52.889,22.64,26.571,67.897,48.4,12.899,0,67.897,24.2,26.427,NA,NA,NA,NA,26.571,67.897,48.4,12.899,24.489,46.188,35.165,6.695,143.393,176.532,161.295,11.727,NA,NA,NA,NA,,233.393,266.532,251.295,,,251.295,4.385925144,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,33,,,C4_071218_14.33_for_60sec,yes,14.33,,no,3,3,6,12,698,754,729.167,18.19,313,368,339.25,18.998,0.45,0.48,0.465,0.016,27,43,33.833,4.549,31.016,39.205,35.598,3.396,0,39.205,17.799,18.731,NA,NA,NA,NA,31.016,39.205,35.598,3.396,67.185,83.651,76.564,6.878,-128.66,-73.009,-96.317,20.352,NA,NA,NA,NA,,321.34,16.991,353.683,,,353.683,6.172932858,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,42,,,C5_071218_14.42_for_60sec,yes,14.42,yellow,yes C5,1,1,10,20,666,813,739.2,38.424,573,748,659.15,47.915,1.05,1.44,1.275,0.144,27,65,47.55,8.882,35.355,61.4,51.033,8.966,0,61.4,25.516,26.897,NA,NA,NA,NA,35.355,61.4,51.033,8.966,33.672,46.46,39.849,3.928,57.031,118.74,75.5,16.805,NA,NA,NA,NA,,147.031,208.74,165.5,,,165.5,2.888519912,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,42,,,C5_071218_14.42_for_60sec,yes,14.42,,no,2,2,8,16,925,1145,1001.062,56.926,475,628,559.188,41.484,1.98,2.25,2.134,0.082,27,54,42.625,8.082,69.642,102.883,78.075,10.561,0,102.883,39.037,40.958,NA,NA,NA,NA,69.642,102.883,78.075,10.561,32.696,45.726,36.521,3.901,-156.413,-133.363,-149.434,7.671,NA,NA,NA,NA,,293.587,316.637,300.566,,,300.566,5.24586632,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,42,,,C5_071218_14.42_for_60sec,yes,14.42,,no,3,3,7,14,886,954,931.071,19.998,413,501,457,30.128,0.51,0.69,0.574,0.066,37,73,58.5,8.803,26.926,56.436,42.915,9.873,0,56.436,21.458,23.256,NA,NA,NA,NA,26.926,56.436,42.915,9.873,52.796,93.247,74.424,13.499,-128.234,-82.304,-106.31,15.256,NA,NA,NA,NA,,321.766,7.696,343.69,,,343.69,5.998522106,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,46,,,C6_071218_14.46_for_60sec,yes,14.46,white,yes C6,1,1,4,8,731,857,793.125,41.852,440,466,449.875,9.433,1.02,1.23,1.14,0.095,26,57,51.25,10.525,28.443,57.14,44.274,13.68,0,57.14,22.137,25.303,NA,NA,NA,NA,28.443,57.14,44.274,13.68,23.702,56.02,39.351,13.868,-175.986,-164.476,-171.525,5.486,NA,NA,NA,NA,,274.014,285.524,278.475,,,278.475,4.860305634,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,46,,,C6_071218_14.46_for_60sec,yes,14.46,,no,2,2,4,8,605,1053,832.75,151.674,473,648,552.25,58.964,0.81,2.37,1.89,0.74,36,52,44.125,6.621,58.898,125.176,90.333,30.175,0,125.176,45.167,52.17,NA,NA,NA,NA,58.898,125.176,90.333,30.175,30.57,72.714,52.061,17.214,-142.365,-110.186,-131.6,14.696,NA,NA,NA,NA,,307.635,339.814,318.4,,,318.4,5.557128338,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,50,,,C7_071218_14.50_for_60sec,yes,14.5,white,yes C7,1,1,8,16,423,497,468.25,22.732,452,659,561.312,66.464,0.93,1.35,1.136,0.14,35,55,43.062,5.87,51.039,77.389,60.983,9.734,0,77.389,30.492,32.186,NA,NA,NA,NA,51.039,77.389,60.983,9.734,47.553,64.847,53.72,5.751,-74.197,-36.674,-55.411,13.716,NA,NA,NA,NA,,15.803,53.326,34.589,,,34.589,0.603691935,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,50,,,C7_071218_14.50_for_60sec,yes,14.5,,no,2,2,9,18,872,933,893.444,16.529,340,409,377.722,24.439,0.51,0.96,0.727,0.143,35,62,50.667,5.831,24.759,61.188,46.572,11.759,0,61.188,23.286,25.283,NA,NA,NA,NA,24.759,61.188,46.572,11.759,44.804,88.548,64.51,14.208,-136.637,-68.749,-107.281,18.696,NA,NA,NA,NA,,313.363,21.251,342.719,,,342.719,5.981574959,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,50,,,C7_071218_14.50_for_60sec,yes,14.5,,no,3,3,4,8,541.5,609.5,566.5,25.318,530.833,674.167,599.333,50.472,3.06,3.6,3.39,0.232,31,56,44.375,7.782,70.717,83.4,76.815,5.591,0,83.4,38.408,41.222,NA,NA,NA,NA,70.717,83.4,76.815,5.591,20.677,24.187,22.703,1.675,-87.839,-80.3,-84.521,3.839,NA,NA,NA,NA,,2.161,9.7,5.479,,,5.479,0.09562658972,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,51,,,C8_071218_14.51_for_60sec,yes,14.51,white,yes C8,1,1,5,10,608,657,638.2,12.874,343,432,386.4,27.496,0.367,0.534,0.42,0.069,26,58,45.1,9.837,24.698,41.617,29.879,7.18,0,41.617,14.94,16.459,NA,NA,NA,NA,24.698,41.617,29.879,7.18,59.092,87.058,71.014,11.352,-144.782,-110.136,-118.481,14.86,NA,NA,NA,NA,,305.218,339.864,331.519,,,331.519,5.786098083,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,51,,,C8_071218_14.51_for_60sec,yes,14.51,,no,2,2,4,8,758,840,805.5,33.002,441,567,497.25,44.345,0.334,0.601,0.492,0.114,47,57,53.125,4.643,27.857,38.328,34.061,4.525,0,38.328,17.03,18.446,NA,NA,NA,NA,27.857,38.328,34.061,4.525,52.179,101.412,72.62,21.711,-111.038,-71.03,-87.058,16.973,NA,NA,NA,NA,,338.962,18.97,2.942,,,2.942,0.05134758659,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,51,,,C8_071218_14.51_for_60sec,yes,14.51,,no,3,3,3,6,888,929.333,907.556,13.484,446,528.667,482.667,30.355,0.701,0.868,0.79,0.084,48,63,54.5,5.089,39.373,58.909,49.06,9.769,0,58.909,24.53,27.572,NA,NA,NA,NA,39.373,58.909,49.06,9.769,56.191,73.562,62.039,9.979,-118.301,-95.194,-109.787,12.696,NA,NA,NA,NA,,331.699,354.806,340.213,,,340.213,5.937837008,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,53,,,C9_071218_14.53_for_60sec,yes,14.53,white,yes C9,1,1,4,8,952,1150.667,1044.5,63.542,425.333,552,488.667,47.043,1.001,1.468,1.26,0.193,35,80,61,15.473,36.222,49.782,44.291,5.824,0,49.782,22.145,23.979,NA,NA,NA,NA,36.222,49.782,44.291,5.824,30.189,38.255,35.393,3.573,4.899,15.709,8.661,4.835,NA,NA,NA,NA,,94.899,105.709,98.661,,,98.661,1.721959293,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,53,,,C9_071218_14.53_for_60sec,yes,14.53,,no,2,2,8,16,872,928,899,19.947,382.667,560,453.167,52.529,3.704,4.538,4.108,0.272,21,82,57.125,17.705,64.056,116.123,84.645,18.355,0,116.123,42.322,45.473,NA,NA,NA,NA,64.056,116.123,84.645,18.355,14.998,30.798,20.717,4.98,-95.947,-82.999,-89.599,5.404,NA,NA,NA,NA,,354.053,7.001,0.401,,,0.401,0.0069987703,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,53,,,C9_071218_14.53_for_60sec,yes,14.53,,no,3,3,5,10,1214.667,1385.333,1288,59.853,286.667,389.333,339.467,42.094,1.268,2.102,1.622,0.361,23,65,52,14.384,44.502,88.01,63.951,16.648,0,88.01,31.976,35.485,NA,NA,NA,NA,44.502,88.01,63.951,16.648,34.198,42.063,39.265,3.358,-179.132,171.384,93.06,152.537,NA,NA,NA,NA,,270.868,261.384,183.06,,,183.06,3.194999729,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,53,,,C9_071218_14.53_for_60sec,yes,14.53,,no,4,4,6,12,332,585.333,417.944,73.132,446,610,516.833,46.281,1.468,2.236,1.757,0.28,20,52,40.25,9.285,68.832,99.479,86.669,10.137,0,99.479,43.335,45.775,NA,NA,NA,NA,68.832,99.479,86.669,10.137,40.521,62.112,49.949,7.38,-149.826,-126.529,-139.68,9.085,NA,NA,NA,NA,,300.174,323.471,310.32,,,310.32,5.416105735,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,54,,,C10_071218_14.54_for_60sec,yes,14.54,white,yes C10,1,1,7,14,868,1278.667,1161.143,123.971,513.333,664,556.571,42.231,1.268,2.135,1.878,0.293,16,66,45.429,13.794,50.947,85.344,69.378,11.097,0,85.344,34.689,36.779,NA,NA,NA,NA,50.947,85.344,69.378,11.097,30.598,40.848,37.134,3.684,2.203,42.879,20.941,14.17,NA,NA,NA,NA,,92.203,132.879,110.941,,,110.941,1.936285725,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,54,,,C10_071218_14.54_for_60sec,yes,14.54,,no,2,2,5,10,648,748,698.267,35.439,425.333,550.667,498.8,43.083,3.403,4.304,3.957,0.354,24,122,54.6,26.307,64.014,81.344,71.855,7.566,0,81.344,35.927,38.205,NA,NA,NA,NA,64.014,81.344,71.855,7.566,16.683,19.503,18.164,1.092,-95.947,-87.917,-91.525,3.409,NA,NA,NA,NA,,354.053,2.083,358.475,,,358.475,6.256569036,
Wooster,OBS2,40.775295,-81.920004,7,12,2018,14,54,,,C10_071218_14.54_for_60sec,yes,14.54,,no,3,3,4,8,582.667,729.333,670.333,51.129,648.667,776.667,720.333,42.772,1.535,2.102,1.827,0.256,35,70,55.5,13.169,38.667,57.271,48.95,7.724,0,57.271,24.475,26.649,NA,NA,NA,NA,38.667,57.271,48.95,7.724,24.848,29.939,26.806,2.341,43.603,72.553,57.125,13.983,NA,NA,NA,NA,,133.603,162.553,147.125,,,147.125,2.567815662,