"easting","northing"
428322.34142288,4512050.15192907
427998.573605701,4512091.98407498
428371.622840396,4511987.00439793
428157.287494283,4512108.96615458
428446.199949356,4512160.93163435
427892.175201687,4511859.92071256
428430.943645632,4512070.63764333
428344.115114574,4511854.69485584
427805.364648631,4512105.34978557
427389.50185301,4511913.69842234
428334.586240717,4511854.36610853
427860.185133265,4512055.49032784
428019.76846715,4512364.99239052
427810.514106292,4512427.14458225
428601.78215127,4512150.10419044
427515.055015167,4512147.31629146
428065.987848221,4512063.09567227
427493.670378444,4512042.45116532
428425.598096972,4512094.5886893
428021.155584768,4512153.13772785
428354.424553495,4511910.43148127
428268.119634207,4512154.62783442
428158.718939901,4512044.01954238
427702.35892386,4512069.04636954
428086.988489857,4512172.62967788
428591.630425824,4512101.54306271
428293.534344795,4511976.94402799
428123.402660657,4512275.66326659
427869.800500033,4512097.49153544
428001.664753352,4512064.06052845
427855.18122787,4512084.37687354
428250.233282828,4511860.54669708
428168.580720476,4511918.55663398
428232.457974799,4512172.26975932
428063.322840431,4511928.02586244
427971.014366664,4512226.35185815
428383.399700743,4512009.75625786
427805.846685048,4511997.63382672
427999.282343393,4511955.93067378
427572.797095848,4511841.72413986
427928.714094022,4512177.60735902
427811.514367646,4512098.55790994
427781.155691378,4511922.44522973
428174.274276897,4512143.10701682
428213.950258266,4512057.05153697
428081.832892612,4512075.18739301
428422.992131741,4512372.71975806
427590.010120016,4512269.15308016
428056.759845966,4512102.85666332
427776.84325581,4511817.052403
428131.798453116,4512102.90346034
427873.812798317,4512126.57379922
428064.152245539,4512127.11858303
428100.901888392,4512023.98714854
428445.47652523,4511862.47876306
428113.438857744,4512190.28345894
427795.378381624,4511875.59690735
428268.944941022,4511862.3656812
428210.305575418,4512137.29297747
428220.755558367,4512176.37231908
428239.673417992,4512053.0768254
427966.473790335,4511717.20093914
427675.183662933,4511800.47400681
427935.904018091,4512037.26655491
428177.149747633,4512257.50530348
427883.924369402,4512354.93651429
428096.915199896,4511948.40665052
427763.988157642,4512263.73974434
428040.895945504,4512023.03777902
427769.480643472,4512124.86719885
428201.117097443,4512014.62945797
427935.011632324,4511875.51376721
428046.334315314,4512039.00745143
428133.42253613,4512085.27585941
428108.464952349,4511942.52969086
428305.958741301,4512045.75684123
428165.245410334,4512253.54782889
428129.50529514,4512053.17231693
428140.79259261,4511913.1037193
428245.640659757,4512165.04675726
428339.549505276,4512051.50364248
427919.269035473,4512138.32754582
428208.63903208,4512312.84780111
428047.134335972,4512007.86937423
427094.30932018,4512006.01891286
428364.206422675,4511969.16539639
427981.657867718,4512121.52921917
428535.125392827,4512335.51109739
427343.472316784,4512162.21144659
428281.331252583,4512018.87628925
427890.272888485,4512372.96133776
428284.754604929,4511753.99796714
428141.547918678,4512151.75057487
427771.412271954,4512099.36092081
428295.794571959,4512193.57872579
427366.731163997,4512020.10591395
428292.893088499,4512038.77382732
428226.007285126,4512121.03324563
427765.055379112,4512075.10773509
427908.899379793,4512052.33468406
427887.710073483,4512130.39040471
428410.825575831,4512226.5572101
427895.152358429,4511995.90189694
427952.830277366,4512146.20580852
427947.926216953,4512147.81483289
428304.072591302,4512025.46954638
428560.243872552,4512130.97955585
428236.444487261,4511980.73951164
427644.029322916,4511907.42335392
428044.812673364,4512020.01486041
427648.571098076,4512102.80048143
428131.517263669,4511978.08649741
428518.102952401,4512166.89255124
428176.59731242,4511970.97154573
428053.645750482,4512099.49608157
428082.542880079,4511995.45573786
427915.336150174,4512188.08152541
427946.57301588,4512111.87906265
428109.074138389,4511825.08572065
427789.747457432,4511996.65310045
427882.933283472,4512281.10827139
427895.064128759,4512076.27679071
427815.809934351,4512188.17625489
428201.274568371,4511909.49937369
428266.349215532,4512163.44557553
428321.004000519,4511922.19704471
428500.771535526,4512118.98222279
427803.646648459,4512164.0885272
427996.039252329,4511926.77473261
427806.436642295,4512234.86258997
427061.07861776,4512368.91103648
428153.845268972,4512123.28336959
428210.42096648,4511873.62625662
427954.157714128,4512171.40654819
427984.095236448,4512113.9768576
428209.672523276,4512046.99386881
427731.224372571,4511959.15390551
428175.148330476,4512195.52132055
427799.853373032,4512080.41871125
428353.184722499,4512168.00877127
428209.713067022,4511834.11662754
428260.310736584,4512144.36398333
428451.059052363,4512220.38350486
427875.190130045,4512397.79101302
428633.752245581,4512132.86391758
427788.133903837,4511848.00405011
427459.568359676,4512063.67230016
428059.965190625,4511899.79685251
428549.170795093,4512216.32636003
427656.608315088,4512264.40073277
428364.155878476,4512299.3234545
427394.852799658,4512309.91836442
427866.028864609,4512032.41182193
427922.96969949,4511927.42932227
427939.718576453,4512045.29956822
428147.632104578,4511875.71572185
428062.594856639,4512113.77418783
427843.35029601,4512047.2893218
428603.84662246,4512372.5849395
428074.127101306,4512236.36800447
427544.982959578,4512034.87122585
428242.432879584,4512218.87168069
428048.057799404,4512091.69709008
427715.243936217,4511987.4549629
427973.350401353,4511964.93909916
427958.6401543,4511932.02456317
428222.497214254,4511972.38550975
428243.90579763,4511874.69786204
428137.777388211,4511959.84124966
428316.061621917,4512043.60231142
428235.622898717,4511906.92488597
428130.121335123,4512180.43286266
428520.259488074,4512113.67635072
428030.659285651,4512230.58836014
427760.218447476,4512309.96229189
428288.15959567,4512221.5899169
427744.344889141,4512076.17550919
427945.66088194,4512188.00086091
428067.826667808,4512009.38769063
427788.084032775,4512356.24543541
428374.377441397,4512115.76655385
428587.384189632,4512304.2676833
428194.561687159,4512202.13361487
428137.903051015,4512209.65747831
428066.11263076,4512171.34529306
428279.187916916,4511959.65805503
428030.568887095,4511953.94556322
427384.725706138,4512089.48283159
428081.897668799,4512159.95927497
428325.636442361,4512053.82979711
428188.575678587,4511906.17097487
427870.800047016,4512148.14111296
427704.048006478,4512464.32344998
428334.832834599,4512105.99573529
428206.476921677,4512297.24783984
427905.954457995,4512218.74638283
428019.373006107,4512236.66525356
428270.345989917,4512319.64724255
427613.872328382,4511923.85425901
427917.188230522,4511955.0888677
428156.688162994,4511977.21410333
427548.338544211,4512094.55954348
428083.56388642,4512096.44227556
428113.520959474,4512051.48373338
427935.49823367,4512125.14563679
428437.95001895,4512116.5374993
427805.883994523,4512002.66002737
428546.897914489,4512171.36460647
428259.281826778,4511871.11363148
428031.947519661,4511892.36091007
427877.507305712,4512193.22644786
428054.936756916,4512088.10130386
428081.107185315,4512040.24948392
427909.875967895,4511867.66573871
427750.193123304,4512066.65521204
428275.866936679,4512179.01818732
428192.557089724,4512241.52308151
427973.196287548,4511948.06973782
427802.054430148,4512121.60500048
428342.215215606,4512006.8944454
428221.153594703,4512160.19610093
428128.983922793,4512039.2179883
427973.036994685,4512214.41460625
428219.885943633,4512218.72583271
428432.415971769,4511922.50622403
427918.955860371,4512115.65205361
428174.078393385,4512171.78926455
427707.973948579,4512153.7927027
427674.822597933,4512113.08655456
428253.130474735,4511980.72215417
427852.449257899,4512021.657849
428209.590268585,4512116.14832325
428264.669888505,4512314.68633306
427531.691011596,4512131.78097295
428142.557696856,4512083.34879639
428136.944239386,4511954.13881876
428556.676725383,4512341.13544694
428042.035352757,4512024.32289264
428181.17497188,4512061.31886099
428274.485946443,4511646.09791061
428439.462518348,4512264.52456897
428537.942357737,4512082.42542857
427528.032843599,4512041.7294564
427864.881323551,4512118.6073123
427936.921841942,4511954.70873742
427777.586347185,4512198.37498796
428342.320695793,4511991.98874654
427729.149819866,4512097.94062839
428104.507460043,4511886.70155323
428150.991156618,4512114.19359375
428055.969185154,4512523.17772167
428090.354069386,4511936.92501423
427636.283190013,4512125.99308696
428361.157455114,4512318.70453385
428222.584566123,4512052.56638076
427978.972135729,4512100.35210876
427921.081510205,4511853.16362322
428216.992947276,4511996.59428879
428280.601231702,4512268.07123067
428015.338544098,4512115.62965014
428167.265067883,4512138.58994837
428293.193734903,4512144.31687359
427878.097738839,4512010.17968485
427995.838013402,4511898.27537115
428281.113695485,4512145.7369066
428110.616788423,4512180.06299627
428165.792286539,4512296.2548945
428007.049135346,4511857.92993116
428230.470846772,4512065.36233774
427680.09077868,4512089.17267444
428233.936108859,4512088.32854848
427941.811989328,4512353.55028621
428024.748113129,4511838.74179521
428059.056968328,4512004.06524587
428366.559754988,4512297.01015926
428360.206541505,4511819.64264323
427867.657587058,4512176.74542633
428051.092346926,4512149.04149175
427450.419072136,4512051.45564396
428252.99198783,4511891.35714325
428535.114139946,4511619.07625677
427991.104676006,4511918.2368157
428079.022564335,4512207.04556917
428179.823023261,4511932.51333419
428218.033957716,4512261.31822044
427948.474397256,4512069.94765315
428540.381327967,4512007.7751255
427969.703979413,4512107.29602356
427883.25064719,4512098.47148882
428120.136720132,4512136.45722339
428345.124699453,4512156.51039363
428432.541554802,4512306.55500737
428032.992405504,4511985.31660052
427653.371158376,4512043.56983868
428093.010978477,4512042.32515633
428025.585975858,4511945.01618674
428009.890381556,4512058.58751086
428131.646178863,4512115.48636783
428011.996731803,4512085.33404171
427493.687575753,4511821.34960067
427790.495292757,4512027.71252644
428644.396736066,4512365.10900773
428104.612201036,4511975.76232727
427669.455238548,4511754.12367432
428355.918718231,4511983.78549326
427651.191252987,4512096.72152082
428174.713104627,4512026.2749808
427688.377075025,4512107.77749775
428041.28900921,4512185.65033735
427917.132038732,4512085.39610351
427958.673639282,4512178.03278613
428048.289812655,4512191.69808892
428289.372067242,4511872.78858902
427560.210824045,4512304.21862546
427644.133059438,4512080.3105678
428338.204198938,4512192.58256201
427979.044694242,4511960.48079362
428111.106964886,4511952.94192086
427984.462308784,4511992.32604069
428682.843272928,4512221.05928663
428150.967471907,4512373.45342184
428209.530986385,4511907.61817788
428623.460621251,4512069.63251759
428589.501254328,4512225.32834247
428188.606947216,4512139.73830641
427880.001758097,4512056.16790345
427868.205390856,4511859.85465311
427762.484610175,4512082.62262191
427886.917402578,4512045.78789431
428192.546079243,4512231.94121572
427966.25239316,4512014.50235788
427965.537895198,4512141.83121748
428033.728293451,4511725.88691346
428081.052837806,4512194.96580761
428218.884894065,4512047.37630171
427880.150431168,4511958.32493129
428161.129580235,4512388.00022784
427925.728250103,4512018.32973271
427922.374334071,4511687.73806248
427767.244358286,4512290.96417678
428316.038614793,4512422.99984517
428037.762526725,4511873.8099408
428044.91613758,4512029.93357832
427692.036922338,4512036.02074134
428109.878868294,4512150.40702948
427655.392764578,4512052.34049913
428053.620049592,4512243.42683527
428025.357363306,4512260.06573236
427737.531332318,4512280.45677873
427809.698798222,4512099.56188467
428238.560174936,4512356.3525506
428222.63254952,4511839.50939043
428400.072665691,4511731.3415984
428567.301694344,4511913.98969804
427763.775974642,4511975.95058419
427647.492402966,4512038.50945359
427725.682141701,4511760.78194602
428014.419426001,4512167.272656
427812.281727973,4511913.81056006
428041.634648469,4512055.34366147
427951.6785802,4512043.45990197
427772.962717515,4511989.05301531
427989.81422238,4512134.96314335
427976.938858627,4512043.09362111
427656.444745493,4511868.96959217
428033.135042361,4512084.50073841
428027.953986119,4511978.64182584
427710.535495936,4512143.60251432
428153.61144722,4512002.39860563
427860.909629185,4512277.22929395
428082.631307502,4511889.38966873
427774.875670351,4512097.11242204
428284.839364583,4512374.18358717
428142.540766516,4512168.29876911
428612.89950516,4512330.63786757
428103.766081498,4512159.50048066
428495.859259603,4512239.69961488
428099.361437554,4512282.63545732
427825.956938252,4512022.58450955
428176.660637425,4511922.86235071
427827.966401695,4511830.35893205
427538.742496138,4512284.41243774
428075.870050619,4512153.64521242
427832.593987184,4512390.27356819
427702.308139042,4512002.5420341
428194.732888189,4512229.18030332
427939.405937349,4512231.3855059
428235.876450472,4512140.58987824
428285.847837924,4512175.72178062
427926.786024586,4512224.896053
428090.470424384,4511991.81997286
428140.174969689,4511809.22089346
427782.64750896,4512131.06425127
428214.342849515,4512385.28120424
427968.444368333,4511840.8598571
428223.334639276,4512025.15069829
428037.245229197,4512222.64223988
427966.517468692,4512062.44778573
428099.8062409,4511905.20268758
427735.48454274,4511907.39438813
427960.135282582,4511828.31129858
427863.163002604,4512199.41190302
427729.823440296,4511916.19700388
428020.800332446,4512080.3093149
428327.766002285,4511897.60663029
428416.741947127,4511961.97687969
428012.638418929,4512137.99604896
428208.705358682,4512081.31270917
428445.929229012,4511510.0736317
428150.271654656,4512349.22836074
428060.478099155,4512082.72661679
428290.622926487,4512070.86171916
427962.243266529,4512063.79630844
428356.105802449,4512384.96504911
428133.682273291,4512064.76577794
428204.582406832,4512036.48406945
427746.615084856,4512108.25355185
428022.306427834,4512084.76816318
427952.263047065,4512153.14325306
427956.300729172,4512078.06812015
427860.982364665,4512140.28658871
428456.79223274,4512209.28023581
427696.232787206,4512256.31785003
428182.063768539,4512394.32879147
428380.168562125,4512248.09458535
427777.117742235,4512182.50861279
427904.389349701,4512016.67722111
428118.599329882,4511974.9292217
428164.781133326,4512299.72814747
427845.365345097,4511897.70031499
427793.069056447,4512098.56830116
428253.529857045,4512206.59218118
428397.428242236,4512146.31388992
428039.433215652,4511912.55141914
428146.129001321,4512028.77132994
428247.123528216,4511997.00406845
428406.900601082,4512181.41537046
428245.022963059,4512175.70529373
427899.117494829,4511958.47390608
428062.060291257,4512085.84359238
427678.867069743,4512112.64373019
428309.373480683,4512019.14603448
428142.328067981,4512087.18070736
428609.548874678,4512230.01218153
427841.887979173,4512042.90618399
427936.177537222,4512147.23064345
428289.451388979,4512124.91931798
427637.766309248,4512183.69040703
428092.244587349,4511991.38709404
427948.425617587,4511615.90816912
428126.31998541,4511861.04393586
428013.94432383,4512255.77189715
427609.032968616,4512213.96411473
428011.985116096,4512158.85994681
428203.180940436,4512073.21072249
428247.870020923,4512004.65272562
427935.618849792,4512268.24256405
428143.675141033,4512205.19333244
428654.34386391,4511945.37452772
427801.052432532,4512084.9428992
428463.255937645,4512242.46096804
427974.096731237,4512113.88229589
428390.763860345,4511820.66174058
427638.300456012,4512115.96976154
427962.302513565,4512249.04249846
427755.390271433,4512097.67012501
428093.248192309,4511856.16274034
428119.485010045,4512102.78359461
427431.678021052,4511930.48204445
428145.642968042,4512194.41163134
427966.395716362,4511675.23898115
428277.852987024,4512200.39193788
427951.914203014,4512022.62692527
428173.460435325,4511997.56081227
427834.621550178,4512140.27908027
428103.114355315,4511788.22468848
427646.167584866,4512168.74617633
428452.30124445,4512207.65483716
427507.842648272,4511882.00994808
428031.668943567,4512041.73374873
428315.976105453,4512118.34829236
428199.20659104,4512134.25244142
427735.954389656,4512064.17883017
428427.132613531,4512073.1110495
428287.628458116,4512193.28245847
428219.034921925,4512158.8252948
428073.555396749,4511975.47004299
427973.032302342,4512040.58774398
427880.271417027,4512243.50410453
428121.123735447,4512118.93014817
428349.612728199,4512119.07578579
428153.845249408,4512041.99832165
427854.32668563,4511838.93799441
428300.724111226,4512067.06169215
428012.213370618,4512092.28374644
427805.167459287,4512031.35614044
428201.686732957,4512252.14755726
427957.29426719,4512024.21664714
427842.441980623,4511927.52847505
